,Date,Open,High,Low,Close,Volume,Turnover,AnnualVolatility365,AnnualVolatility254,logreturns
179,2017-09-21,24934.1,24992.5,24706.45,24799.25,72279851,21458000000.0,8.99596516044,7.50443829383,-0.00666343597634
180,2017-09-22,24704.55,24709.7,24340.0,24368.85,91287072,28752300000.0,10.6542071869,8.88774455857,-0.0175077334215
181,2017-09-25,24361.55,24363.8,24015.45,24165.05,92662078,30780600000.0,15.8522017407,13.2239140173,-0.00839830295354
182,2017-09-26,24105.6,24236.95,24017.4,24199.15,66244294,22208500000.0,14.1812422401,11.8299988297,0.00141013417572
183,2017-09-27,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327
184,2017-09-28,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975
185,2017-09-29,24114.0,24227.45,24004.8,24053.0,71703679,24726600000.0,16.7898138174,14.006070445,0.0018663728612
186,2017-10-03,24200.6,24226.8,24007.25,24103.4,66828025,22616400000.0,17.123474089,14.2844099977,0.00209318048699
187,2017-10-04,24124.15,24230.45,24058.65,24113.3,61740801,20153500000.0,15.8410012598,13.2145705709,0.000410646109714
188,2017-10-05,24114.75,24188.3,24033.35,24058.05,67125178,21467000000.0,15.9033217003,13.2665583112,-0.00229389561334
189,2017-10-06,24083.55,24242.05,24074.35,24190.0,84205169,25061100000.0,15.9240502717,13.2838500951,0.00546966474147
190,2017-10-09,24209.55,24311.1,24156.05,24251.9,66557307,19018400000.0,16.6778546964,13.9126740945,0.00255564020778
191,2017-10-10,24304.8,24379.75,24273.65,24347.45,62757458,19373000000.0,13.4403281489,11.2119279525,0.00393215642246
192,2017-10-11,24411.45,24460.25,24054.25,24107.45,75494487,22416700000.0,12.5281251544,10.450967793,-0.00990619989527
193,2017-10-12,24151.45,24393.4,23978.4,24361.25,73274598,23490000000.0,14.0589647504,11.7279948914,0.0104728337972
194,2017-10-13,24411.1,24779.75,24387.8,24689.15,89300075,26619900000.0,10.804507276,9.01312496238,0.0133701207169
